Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
0,Z,0,0,TRUE, §6 
25,V,6,1,TRUE,<R
26,L,6,1,,
27,L,6,1,,
28,L,6,1,,
29,M,6,1,,
30,M,6,1,,
31,M,6,1,,
32,M,6,1,,
33,M,6,1,,
34,M,6,1,,
35,E,6,1,,
36,A,6,1,,
37,E,6,1,,
38,A,6,1,,
39,L,6,1,TRUE,<R; -- ; §7 
40,V,7,1,TRUE,<R
41,V,7,1,,
42,L,7,1,,
43,P,7,1,,
44,V,7,1,,
45,M,7,1,,
46,M,7,1,,
47,L,7,1,,
48,L,7,1,,
49,M,7,1,,
50,M,7,1,,
51,J,7,1,,
52,A,7,1,,
53,A,7,1,TRUE, -- ; §8 
54,V,8,1,TRUE,<R
55,L,8,1,,
56,L,8,1,,
57,L,8,1,,
58,L,8,1,,
59,L,8,1,,
60,M,8,1,,
61,M,8,1,,
62,M,8,1,,
63,M,8,1,,
64,E,8,1,,
65,A,8,1,,
66,V,8,1,,
67,L,8,1,,
68,M,8,1,,
69,M,8,1,TRUE, -- ; §9 
70,V,9,1,TRUE,<R
71,L,9,1,,
72,L,9,1,,
73,L,9,1,,
74,L,9,1,,
75,M,9,1,TRUE, -- ; §10
76,V,10,1,TRUE,<R
77,M,10,1,,
78,E,10,1,,
79,A,10,1,,
80,M,10,1,TRUE, -- ; §11
81,V,11,1,TRUE,<R
82,P,11,1,,
83,V,11,1,,
84,L,11,1,,
85,L,11,1,,
86,L,11,1,,
87,L,11,1,,
88,L,11,1,,
89,L,11,1,,
90,M,11,1,,
91,M,11,1,TRUE, -- ; §12
92,V,12,1,,
93,M,12,1,,
94,M,12,1,,
95,M,12,1,TRUE, -- ; §13
96,V,13,1,TRUE, THE;END 
