Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List,Has_Video_Bool,Length_in_Minutes
0,Z,0,0,TRUE,§1,TRUE,-
1,V,1,1,TRUE,<noR,TRUE,11
2,L,1,1,,,TRUE,10
3,L,1,1,,,TRUE,15
4,V,1,1,TRUE,<noR,TRUE,9
5,V,1,1,,,TRUE,12
6,L,1,1,,,TRUE,5
7,L,1,1,,,TRUE,9
8,L,1,1,,,TRUE,11
9,L,1,1,,,TRUE,2
10,L,1,1,TRUE,§2,TRUE,14
11,J,2,1,TRUE,<noR,TRUE,5
12,L,2,1,,,TRUE,2
13,L,2,1,,,TRUE,8
14,L,2,1,,,TRUE,9
15,L,2,1,,,TRUE,9
16,L,2,1,,,TRUE,6
17,L,2,1,TRUE,<noR,TRUE,14
18,L,2,1,,,TRUE,4
19,L,2,1,,,TRUE,13
20,L,2,1,,,TRUE,7
21,R,2,1,,,FALSE,1
22,L,2,1,,,TRUE,11
23,L,2,1,,,TRUE,16
24,L,2,1,,,TRUE,14
25,L,2,1,,,TRUE,14
26,L,2,1,,,TRUE,15
27,L,2,1,,,TRUE,14
28,L,2,1,,,TRUE,9
29,L,2,1,,,TRUE,10
30,L,2,1,,,TRUE,11
31,L,2,1,,,TRUE,8
32,L,2,1,TRUE,<noR,TRUE,7
33,L,2,1,TRUE,<noR,TRUE,18
34,V,2,1,TRUE,<noR,TRUE,3
35,L,2,1,,,TRUE,20
36,L,2,1,,,TRUE,8
37,L,2,1,,,TRUE,19
38,L,2,1,TRUE,§3,TRUE,11
39,V,3,1,TRUE,<noR,TRUE,8
40,V,3,1,TRUE,<noR,TRUE,18
41,V,3,1,TRUE,<noR,TRUE,21
42,L,3,1,,,TRUE,9
43,L,3,1,,,TRUE,14
44,L,3,1,,,TRUE,9
45,L,3,1,TRUE,<noR,TRUE,11
46,L,3,1,TRUE,<noR,TRUE,13
47,L,3,1,,,TRUE,8
48,L,3,1,,,TRUE,13
49,L,3,1,,,TRUE,22
50,L,3,1,,,TRUE,9
51,L,3,1,,,TRUE,9
52,L,3,1,,,TRUE,18
53,L,3,1,,,TRUE,12
54,L,3,1,,,TRUE,14
55,L,3,1,,,TRUE,8
56,L,3,1,,,TRUE,18
57,L,3,1,,,TRUE,13
58,L,3,1,,,TRUE,8
59,L,3,1,,,TRUE,15
60,L,3,1,,,TRUE,8
61,L,3,1,,,TRUE,19
62,L,3,1,,,TRUE,8
63,L,3,1,,,TRUE,16
64,L,3,1,TRUE,§4,TRUE,5
65,L,4,1,,,TRUE,13
66,L,4,1,,,TRUE,21
67,L,4,1,,,TRUE,9
68,L,4,1,,,TRUE,20
69,L,4,1,,,TRUE,20
70,L,4,1,,,TRUE,11
71,L,4,1,TRUE,§5,TRUE,12
72,V,5,1,TRUE,<noR,TRUE,7
73,V,5,1,,,TRUE,16
74,L,5,1,,,TRUE,11
75,L,5,1,,,TRUE,11
76,L,5,1,,,TRUE,23
77,L,5,1,,,TRUE,15
78,L,5,1,,,TRUE,11
79,L,5,1,,,TRUE,18
80,V,5,1,TRUE,<noR,TRUE,14
81,L,5,1,,,TRUE,6
82,L,5,1,,,TRUE,12
83,L,5,1,,,TRUE,19
84,L,5,1,,,TRUE,17
85,L,5,1,,,TRUE,18
86,L,5,1,,,TRUE,7
87,L,5,1,,,TRUE,22
88,L,5,1,,,TRUE,21
89,L,5,1,,,TRUE,19
90,V,5,1,TRUE,<noR;§6,TRUE,3
91,V,6,1,,,TRUE,10
92,L,6,1,,,TRUE,18
93,L,6,1,,,TRUE,10
94,L,6,1,,,TRUE,23
95,L,6,1,,,TRUE,15
96,L,6,1,,,TRUE,21
97,L,6,1,,,TRUE,19
98,L,6,1,,,TRUE,20
99,L,6,1,,,TRUE,14
100,L,6,1,,,TRUE,17
101,L,6,1,,,TRUE,17
102,L,6,1,,,TRUE,24
103,L,6,1,,,TRUE,25
104,B,6,1,TRUE,<noR;§7,TRUE,20
105,V,7,1,TRUE,<noR,TRUE,4
106,L,7,1,,,TRUE,11
107,L,7,1,,,TRUE,9
108,L,7,1,,,TRUE,9
109,L,7,1,,,TRUE,8
110,L,7,1,,,TRUE,7
111,L,7,1,,,TRUE,7
112,L,7,1,TRUE,   <;cool,TRUE,4
113,L,7,1,,,TRUE,10
114,L,7,1,,,TRUE,7
115,L,7,1,TRUE, THE;END,TRUE,8
